year;var_employRecordBook;employRecordBook_no;employRecordBook_yes;publicServant_Military
1973;;;;
1976;v2316;2;1;
1977;v0103;2;1;
1978;v2422;2;1;
1979;v2317;2;1;
1981;v0506;4;2;
1982;v0506;4;2;
1983;v0506;4;2;
1984;v0506;4;2;
1985;v0506;4;2;
1986;v0506;4;2;
1987;v0506;4;2;
1988;v0506;4;2;
1989;v0506;4;2;
1990;v0506;4;2;
1992;v4706;4,5,7;1,6;2,3
1993;v4706;4,5,7;1,6;2,3
1995;v4706;4,5,7;1,6;2,3
1996;v4706;4,5,7;1,6;2,3
1997;v4706;4,5,7;1,6;2,3
1998;v4706;4,5,7;1,6;2,3
1999;v4706;4,5,7;1,6;2,3
2001;v4756;4,5,7;1,6;2,3
2002;v4706;4,5,7;1,6;2,3
2003;v4706;4,5,7;1,6;2,3
2004;v4706;4,5,7;1,6;2,3
2005;v4706;4,5,7;1,6;2,3
2006;v4706;4,5,7;1,6;2,3
2007;v4706;4,5,7;1,6;2,3
2008;v4706;4,5,7;1,6;2,3
2009;v4706;4,5,7;1,6;2,3
2011;v4706;4,5,7;1,6;2,3
2012;v4706;4,5,7;1,6;2,3
2013;v4706;4,5,7;1,6;2,3
2014;v4706;4,5,7;1,6;2,3
2015;v4706;4,5,7;1,6;2,3
