year;var_literacy;;value_literate;value_illiterate
1973;;;;
1976;v2222;;1;2,3
1977;v0033;;1;2,3
1978;v2211;;1;2,3
1979;v2212;;1;2,3
1981;v0311;;1;3
1982;v0311;;1;3
1983;v0311;;1;3
1984;v0311;;1;3
1985;v0311;;1;3
1986;v0311;;1;3
1987;v0311;;1;3
1988;v0311;;1;3
1989;v0311;;1;3
1990;v0311;;1;3
1992;v0601;;1;3
1993;v0601;;1;3
1995;v0601;;1;3
1996;v0601;;1;3
1997;v0601;;1;3
1998;v0601;;1;3
1999;v0601;;1;3
2001;v0601;;1;3
2002;v0601;;1;3
2003;v0601;;1;3
2004;v0601;;1;3
2005;v0601;;1;3
2006;v0601;;1;3
2007;v0601;;1;3
2008;v0601;;1;3
2009;v0601;;1;3
2011;v0601;;1;3
2012;v0601;;1;3
2013;v0601;;1;3
2014;v0601;;1;3
2015;v0601;;1;3
