year;var_occupationalStatus;occupationalStatus_occupied;occupationalStatus_disoccupied
1973;v1512;1, 2;3
1976;v2301;1, 2;3, 4
1977;v0066;1, 2;3, 4
1978;v2408;1, 2;3, 4
1979;v2301;1, 2;3, 4
1981;v0501;1, 2;3
1982;v0501;1, 2;3
1983;v0501;1, 2;3
1984;v0501;1, 2;3
1985;v0501;1, 2;3
1986;v0501;1, 2;3
1987;v0501;1, 2;3
1988;v0501;1, 2;3
1989;v0501;1, 2;3
1990;v0501;1, 2;3
1992;v4705;1;2
1993;v4705;1;2
1995;v4705;1;2
1996;v4705;1;2
1997;v4705;1;2
1998;v4705;1;2
1999;v4705;1;2
2001;v4755;1;2
2002;v4705;1;2
2003;v4705;1;2
2004;v4705;1;2
2005;v4705;1;2
2006;v4705;1;2
2007;v4805;1;2
2008;v4805;1;2
2009;v4805;1;2
2011;v4805;1;2
2012;v4805;1;2
2013;v4805;1;2
2014;v4805;1;2
2015;v4805;1;2
