year;var_rentalIncome;missing_values;deflator
1973;;;
1976;v2363;999999;0,831445214
1977;v0093;999999;0,605199492
1978;v2482;999999;0,419320338
1979;v2363;999998;0,258809278
1981;v0581;9999999;0,067449607
1982;v0581;9999999;0,034472717
1983;v0581;9999998;0,013638355
1984;v0581;9999998;0,004678891
1985;v0581;99999999;0,001479446
1986;v0581;999999999;0,747203907
1987;v0581;999999999;0,186739709
1988;v0581;999999999;0,022940877
1989;v0581;999999999;1,668638415
1990;v0581;999999999;0,055767319
1992;v1267;999999999999;0,000902773
1993;v1267;999999999999;0,043651516
1995;v1267;999999999999;3,745884009
1996;v1267;999999999999;3,33244365
1997;v1267;999999999999;3,193956836
1998;v1267;999999999999;3,098786175
1999;v1267;999999999999;2,91142984
2001;v1267;999999999999;2,535535926
2002;v1267;999999999999;2,306677174
2003;v1267;999999999999;1,974411493
2004;v1267;999999999999;1,865502972
2005;v1267;999999999999;1,773149862
2006;v1267;999999999999;1,72506093
2007;v1267;999999999999;1,645296191
2008;v1267;999999999999;1,535511624
2009;v1267;999999999999;1,472052878
2011;v1267;999999999999;1,310045058
2012;v1267;999999999999;1,23845124
2013;v1267;999999999999;1,172372188
2014;v1267;999999999999;1,101170203
2015;v1267;999999999999;1
