year;var_ruralUrban;value_rural;value_urban
1973;;;
1976;v1004;2;1
1977;v0006;2;1
1978;v1152;2;1
1979;v1152;2;1
1981;v0003;5,7;1,3
1982;v0003;5,7;1,3
1983;v0003;5,7;1,3
1984;v0003;5,7;1,3
1985;v0003;5,7;1,3
1986;v0003;5,7;1,3
1987;v0003;5,7;1,3
1988;v0003;5,7;1,3
1989;v0003;5,7;1,3
1990;v0003;5,7;1,3
1992;v4728;4,5,6,7,8;1,2,3
1993;v4728;4,5,6,7,8;1,2,3
1995;v4728;4,5,6,7,8;1,2,3
1996;v4728;4,5,6,7,8;1,2,3
1997;v4728;4,5,6,7,8;1,2,3
1998;v4728;4,5,6,7,8;1,2,3
1999;v4728;4,5,6,7,8;1,2,3
2001;v4728;4,5,6,7,8;1,2,3
2002;v4728;4,5,6,7,8;1,2,3
2003;v4728;4,5,6,7,8;1,2,3
2004;v4728;4,5,6,7,8;1,2,3
2005;v4728;4,5,6,7,8;1,2,3
2006;v4728;4,5,6,7,8;1,2,3
2007;v4728;4,5,6,7,8;1,2,3
2008;v4728;4,5,6,7,8;1,2,3
2009;v4728;4,5,6,7,8;1,2,3
2011;v4728;4,5,6,7,8;1,2,3
2012;v4728;4,5,6,7,8;1,2,3
2013;v4728;4,5,6,7,8;1,2,3
2014;v4728;4,5,6,7,8;1,2,3
2015;v4728;4,5,6,7,8;1,2,3
