year;var_schoolattnd;var_schoolattnd_aux;value_yes;value_no
1973;;;;
1976;v2224;v2225;0,1,2,3,4,5,6,7,8,9;0
1977;v0035;v0036;0,1,2,3,4,5,6,7,8,9;0
1978;v2213;v2214;0,1,2,3,4,5,6,7,8,9;0
1979;v2213;v2214;0,1,2,3,4,5,6,7,8,9;0
1981;v0312;;1,2,3,4,5,6,7,8,9;0
1982;v0312;;1,2,3,4,5,6,7,8,9;0
1983;v0312;;1,2,3,4,5,6,7,8,9;0
1984;v0312;;1,2,3,4,5,6,7,8,9;0
1985;v0312;;1,2,3,4,5,6,7,8,9;0
1986;v0312;;1,2,3,4,5,6,7,8,9;0
1987;v0312;;1,2,3,4,5,6,7,8,9;0
1988;v0312;;1,2,3,4,5,6,7,8,9;0
1989;v0312;;1,2,3,4,5,6,7,8,9;0
1990;v0312;;1,2,3,4,5,6,7,8,9;0
1992;v0602;;2;4
1993;v0602;;2;4
1995;v0602;;2;4
1996;v0602;;2;4
1997;v0602;;2;4
1998;v0602;;2;4
1999;v0602;;2;4
2001;v0602;;2;4
2002;v0602;;2;4
2003;v0602;;2;4
2004;v0602;;2;4
2005;v0602;;2;4
2006;v0602;;2;4
2007;v0602;;2;4
2008;v0602;;2;4
2009;v0602;;2;4
2011;v0602;;2;4
2012;v0602;;2;4
2013;v0602;;2;4
2014;v0602;;2;4
2015;v0602;;2;4
