year;var_socialSecurityContrib;socialSecurityContrib_no;socialSecurityContrib_yes
1973;;;
1976;v2309;6;1,2,3,4,5
1977;v0101;6;1,2,3,4,5
1978;v2421;4;1,2,3
1979;v2316;4;1,2,3
1981;v0511;3;1
1982;v0511;3;1
1983;v0511;3;1
1984;v0511;3;1
1985;v0511;3;1
1986;v0511;3;1
1987;v0511;3;1
1988;v0511;3;1
1989;v0511;3;1
1990;v0511;3;1
1992;v4711;2;1
1993;v4711;2;1
1995;v4711;2;1
1996;v4711;2;1
1997;v4711;2;1
1998;v4711;2;1
1999;v4711;2;1
2001;v4761;2;1
2002;v4711;2;1
2003;v4711;2;1
2004;v4711;2;1
2005;v4711;2;1
2006;v4711;2;1
2007;v4711;2;1
2008;v4711;2;1
2009;v4711;2;1
2011;v4711;2;1
2012;v4711;2;1
2013;v4711;2;1
2014;v4711;2;1
2015;v4711;2;1
